"Division","Item","Qty","Unit","LaborHrs","LaborCost"
"01","Project Management – Weekly","52","each","416","41860"
"01","Site superintendent (12 mo)","12","mo","1520","114000"
"01","Temporary Power","12","each","48","4830"
"01","Final Construction Cleanup","5920","sqft","59","3078"
"02","Clearing & site preparation","4000","sqft","32","2336"
"02","Erosion & sediment control (DOEE/SWM)","280","lf","24","1744"
"03","Grade beams / foundation wall — 8" CIP","1584","sqft","144","10488"
"03","Concrete Pour – 4\","1480","sqft","59","4322"
"03","Wire Mesh Placement","1480","sqft","15","1080"
"03","Exterior concrete (rear areaway, stoop, steps)","400","sqft","19","1402"
"03","Exterior Waterproofing","176","lf","264","19272"
"04","Brick Veneer","600","sqft","150","10950"
"05","Steel Beam Installation","210","lf","158","11498"
"05","HSS 5×5×3/8 steel columns + base plates","280","lf","35","2535"
"06","Floor System – I-Joist (TJI)","4440","sqft","266","19447"
"06","Subfloor Sheathing","4440","sqft","133","9724"
"06","Exterior Wall – 2x6","528","lf","95","6938"
"06","Interior Wall – 2x4","700","lf","105","7665"
"06","Wall Sheathing – OSB/Plywood","5280","sqft","106","7709"
"06","Low-slope roof framing (PT 2x8 @24" + steel)","1480","sqft","74","5402"
"06","Roof Sheathing – OSB/Plywood","1480","sqft","44","3241"
"06","Stair Framing","4","each","16","1168"
"06","Blocking, backing, misc rough carpentry","5920","sqft","50","3630"
"07","Batt Insulation – R-13/R-15","5280","sqft","53","3854"
"07","Fiber Cement Siding – Lap","5100","sqft","408","29784"
"07","Roof / rigid insulation + air/vapor barrier","1480","sqft","22","1631"
"07","House wrap / weather-resistive barrier","5280","sqft","48","3508"
"07","TPO Flat Roof","14.8","sq","37","2701"
"07","Firestopping / rated assemblies (Type IIIB)","5920","sqft","17","1253"
"08","Interior Door – Solid Core","40","each","100","7300"
"08","Exterior Door – Steel","4","each","16","1168"
"08","Vinyl Double-Hung Window","35","each","88","6388"
"08","Commercial hardware (levers, closers, panic)","44","ea","26","1863"
"09","Drywall Hang – Standard 1/2\","26084","sqft","522","38083"
"09","Drywall Tape & Finish – Level 4","26084","sqft","522","38083"
"09","Rated shaft/corridor drywall upgrade (Type X)","3500","sqft","31","2248"
"09","Suspended ACT ceilings (cellar/kitchen/support)","1600","sqft","31","2243"
"09","Porcelain Floor Tile","900","sqft","180","13140"
"09","Luxury Vinyl Plank (LVP)","4500","sqft","270","19710"
"09","Interior Wall Paint","26084","sqft","522","38083"
"09","Finish carpentry — base, casing, trim","5920","sqft","123","8989"
"10","ADA Grab Bar","21","each","21","1533"
"10","Toilet accessories sets (7 baths)","7","ea","6","450"
"10","Signage — egress / ADA / room ID","30","ea","17","1226"
"10","Fire extinguishers & cabinets","8","ea","4","257"
"12","Standard Vanity with Top","7","each","21","1533"
"12","Common/kitchen casework & countertops (base-bldg)","40","lf","19","1402"
"12","Closet/pantry shelving & built-ins","4","ea","43","3163"
"22","Standard Toilet","7","each","14","1222"
"22","Lavatories / sinks (7 baths + common + kitchen)","12","ea","48","4188"
"22","Standard Bathtub","7","each","35","3054"
"22","DWV + water supply distribution (by fixture)","36","ea","216","18846"
"22","Gas Line – New Run","180","lf","45","3926"
"22","Water heaters — commercial (2 × WH-1)","2","ea","16","1396"
"22","Laundry rough-in + sump pump","1","ls","11","931"
"23","Split HVAC systems — 4 zones (CU-1..4 + AHU-1..4)","4","ea","64","5584"
"23","Ductwork distribution","900","lf","270","23558"
"23","Bathroom Exhaust Fan – Standard","7","each","18","1527"
"26","Panel Upgrade – 400A","1","each","24","2094"
"26","Panel Upgrade – 200A","2","each","28","2443"
"26","Feeders & branch wiring (building-wide)","5920","sqft","296","25826"
"26","Lighting package (LED recessed/surface, interior/exterior)","65","ea","45","3932"
"26","Wiring devices & plates","220","ea","74","6450"
"26","HVAC power / equipment connections (CU/AHU/MAU/KEF)","10","ea","52","4537"
"26","Emergency & exit lighting (egress)","24","ea","41","3574"
"26","Smoke Detector – Hardwired","14","each","11","916"
"27/28","Cat6 Ethernet Drop","20","each","20","1745"
"31","Mass & foundation excavation (cellar)","550","cy","62","4497"
"31","Haul-off / spoil disposal","400","cy","41","2958"
"31","Backfill & compaction","180","cy","24","1787"
"31","Stone base / under-slab drainage","1480","sqft","25","1847"
"31","Fine grading","2520","sqft","35","2557"
"32","Walks, steps & entry hardscape","500","sqft","18","1314"
"32","Landscaping, planter & site restoration","2520","sqft","37","2704"
