"Division","Item","Qty","Unit","MaterialCost"
"01","Temporary Power","12","each","5796"
"01","Portable Toilet – Monthly","12","each","2536"
"01","Dumpster – 30 Yard","10","each","7245"
"01","Final Construction Cleanup","5920","sqft","1776"
"01","Property Survey","1","each","725"
"01","Structural Engineering","1","each","1449"
"03","Concrete Footer","176","lf","4675"
"03","Foundation wall — 8" CIP (form+rebar+pour+strip)","1584","sqft","13464"
"03","Concrete Pour – 4\","1480","sqft","8036"
"03","Rebar Placement","1480","sqft","1791"
"03","Exterior concrete (rear areaway, stoop, steps)","400","sqft","2400"
"03","Exterior Waterproofing","176","lf","21252"
"04","Brick Veneer","670","sqft","9708"
"05","Steel Beam Installation","210","lf","12678"
"05","HSS 5×5×3/8 steel columns + base/cap plates","280","lf","6076"
"06","Floor System – I-Joist (TJI)","4440","sqft","33700"
"06","Subfloor Sheathing","4440","sqft","12654"
"06","Exterior Wall – 2x6","528","lf","6009"
"06","Interior Wall – 2x4","1100","lf","8349"
"06","Wall Sheathing – OSB/Plywood","5280","sqft","10032"
"06","Low-slope roof framing (PT 2x8 @24" + steel)","1480","sqft","5550"
"06","Roof Sheathing – OSB/Plywood","1480","sqft","2990"
"06","Stair Framing","4","each","725"
"06","Blocking, backing, misc rough carpentry","5920","sqft","3730"
"07","Batt Insulation – R-13/R-15","5280","sqft","5122"
"07","Fiber Cement Siding – Lap","4700","sqft","31208"
"07","Roof / rigid insulation + air/vapor barrier","1480","sqft","2324"
"07","House wrap / weather-resistive barrier","5280","sqft","3590"
"07","TPO Flat Roof","14.8","sq","4914"
"07","Firestopping / rated assemblies (Type IIIB)","5920","sqft","1302"
"08","Interior Door – Solid Core","40","each","14490"
"08","Exterior Door – Steel","4","each","2898"
"08","Vinyl Double-Hung Window","35","each","15848"
"08","Commercial hardware (levers, closers, panic)","44","ea","4466"
"09","Drywall Hang – Standard 1/2\","20000","sqft","14000"
"09","Drywall Tape & Finish – Level 4","20000","sqft","6000"
"09","Rated shaft/corridor drywall upgrade (Type X)","3500","sqft","1540"
"09","Suspended ACT ceilings (cellar/kitchen/support)","1600","sqft","3456"
"09","Porcelain Floor Tile","900","sqft","8694"
"09","Luxury Vinyl Plank (LVP)","4500","sqft","21735"
"09","Interior Wall Paint","20000","sqft","9600"
"09","Finish carpentry — base, casing, trim","5920","sqft","6157"
"10","ADA Grab Bar","21","each","1521"
"10","Toilet accessories sets (7 baths)","7","ea","1078"
"10","Fire extinguishers & cabinets","8","ea","1056"
"12","Standard Vanity with Top","7","each","4226"
"12","Common/kitchen casework & countertops (base-bldg)","40","lf","3360"
"22","Standard Toilet","7","each","2324"
"22","Lavatories / sinks (7 baths + common + kitchen)","12","ea","2232"
"22","Standard Bathtub","7","each","3381"
"22","DWV + water supply distribution (by fixture)","36","ea","6840"
"22","Gas Line – New Run","180","lf","2608"
"22","Water heaters — commercial (2 × WH-1)","2","ea","3360"
"22","Laundry rough-in + sump pump","1","ls","480"
"23","Split HVAC systems — 4 zones (CU-1..4 + AHU-1..4)","4","ea","15680"
"23","Ductwork distribution","900","lf","5940"
"23","Bathroom Exhaust Fan – Standard","7","each","761"
"26","Panel Upgrade – 400A","1","each","4226"
"26","Panel Upgrade – 200A","2","each","3381"
"26","Feeders & branch wiring (building-wide)","5920","sqft","19654"
"26","Lighting package (LED recessed/surface, interior/exterior)","5920","sqft","9946"
"26","Wiring devices & plates","220","ea","3696"
"26","HVAC power / equipment connections (CU/AHU/MAU/KEF)","10","ea","2600"
"26","Emergency & exit lighting (egress)","24","ea","4608"
"26","Smoke Detector – Hardwired","14","each","592"
"27/28","Cat6 Ethernet Drop","20","each","725"
"31","Stone base / under-slab drainage","1480","sqft","2842"
"32","Walks, steps & entry hardscape","500","sqft","2250"
